Date,Cboe
2018-05-04,14.77000046
2018-05-07,14.75
2018-05-08,14.71000004
2018-05-09,13.42000008
2018-05-10,13.22999954
2018-05-11,12.64999962
2018-05-14,12.93000031
2018-05-15,14.63000011
2018-05-16,13.42000008
2018-05-17,13.43000031
2018-05-18,13.42000008
2018-05-21,13.07999992
2018-05-22,13.22000027
2018-05-23,12.57999992
2018-05-24,12.52999973
2018-05-25,13.22000027
2018-05-29,17.02000046
2018-05-30,14.93999958
2018-05-31,15.43000031
2018-06-01,13.46000004
2018-06-04,12.73999977
2018-06-05,12.39999962
2018-06-06,11.64000034
2018-06-07,12.13000011
2018-06-08,12.18000031
2018-06-11,12.35000038
2018-06-12,12.34000015
2018-06-13,12.93999958
2018-06-14,12.11999989
2018-06-15,11.97999954
2018-06-18,12.31000042
2018-06-19,13.35000038
2018-06-20,12.78999996
2018-06-21,14.64000034
2018-06-22,13.77000046
2018-06-25,17.32999992
2018-06-26,15.92000008
2018-06-27,17.90999985
2018-06-28,16.85000038
2018-06-29,16.09000015
2018-07-02,15.60000038
2018-07-03,16.13999939
2018-07-05,14.97000027
2018-07-06,13.36999989
2018-07-09,12.68999958
2018-07-10,12.64000034
2018-07-11,13.63000011
2018-07-12,12.57999992
2018-07-13,12.18000031
2018-07-16,12.82999992
2018-07-17,12.06000042
2018-07-18,12.10000038
2018-07-19,12.86999989
2018-07-20,12.85999966
2018-07-23,12.61999989
2018-07-24,12.40999985
2018-07-25,12.28999996
2018-07-26,12.14000034
2018-07-27,13.02999973
2018-07-30,14.26000023
2018-07-31,12.82999992
2018-08-01,13.14999962
2018-08-02,12.18999958
2018-08-03,11.64000034
2018-08-06,11.27000046
2018-08-07,10.93000031
2018-08-08,10.85000038
2018-08-09,11.27000046
2018-08-10,13.15999985
2018-08-13,14.77999973
2018-08-14,13.31000042
2018-08-15,14.64000034
2018-08-16,13.44999981
2018-08-17,12.64000034
2018-08-20,12.48999977
2018-08-21,12.85999966
2018-08-22,12.25
2018-08-23,12.40999985
2018-08-24,11.98999977
2018-08-27,12.15999985
2018-08-28,12.5
2018-08-29,12.25
2018-08-30,13.52999973
2018-08-31,12.85999966
2018-09-04,13.15999985
2018-09-05,13.90999985
2018-09-06,14.64999962
2018-09-07,14.88000011
2018-09-10,14.15999985
2018-09-11,13.22000027
2018-09-12,13.14000034
2018-09-13,12.36999989
2018-09-14,12.06999969
2018-09-17,13.68000031
2018-09-18,12.78999996
2018-09-19,11.75
2018-09-20,11.80000019
2018-09-21,11.68000031
2018-09-24,12.19999981
2018-09-25,12.42000008
2018-09-26,12.89000034
2018-09-27,12.40999985
2018-09-28,12.11999989
2018-10-01,12.0
2018-10-02,12.05000019
2018-10-03,11.60999966
2018-10-04,14.22000027
2018-10-05,14.81999969
2018-10-08,15.68999958
2018-10-09,15.94999981
2018-10-10,22.95999908
2018-10-11,24.97999954
2018-10-12,21.30999947
2018-10-15,21.29999924
2018-10-16,17.62000084
2018-10-17,17.39999962
2018-10-18,20.05999947
2018-10-19,19.88999939
2018-10-22,19.63999939
2018-10-23,20.70999908
2018-10-24,25.22999954
2018-10-25,24.21999931
2018-10-26,24.15999985
2018-10-29,24.70000076
2018-10-30,23.35000038
2018-10-31,21.22999954
2018-11-01,19.34000015
2018-11-02,19.51000023
2018-11-05,19.95999908
2018-11-06,19.90999985
2018-11-07,16.36000061
2018-11-08,16.71999931
2018-11-09,17.36000061
2018-11-12,20.45000076
2018-11-13,20.02000046
2018-11-14,21.25
2018-11-15,19.97999954
2018-11-16,18.13999939
2018-11-19,20.10000038
2018-11-20,22.47999954
2018-11-21,20.79999924
2018-11-23,21.52000046
2018-11-26,18.89999962
2018-11-27,19.02000046
2018-11-28,18.48999977
2018-11-29,18.79000092
2018-11-30,18.06999969
2018-12-03,16.44000053
2018-12-04,20.73999977
2018-12-06,21.19000053
2018-12-07,23.22999954
2018-12-10,22.63999939
2018-12-11,21.76000023
2018-12-12,21.45999908
2018-12-13,20.64999962
2018-12-14,21.62999916
2018-12-17,24.52000046
2018-12-18,25.57999992
2018-12-19,25.57999992
2018-12-20,28.37999916
2018-12-21,30.11000061
2018-12-24,36.06999969
2018-12-26,30.40999985
2018-12-27,29.95999908
2018-12-28,28.34000015
2018-12-31,25.42000008
2019-01-02,23.21999931
2019-01-03,25.45000076
